ID,URL,Title,Difficulty,Acceptance %,Frequency %
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,44.0%,50.0%
10,https://leetcode.com/problems/regular-expression-matching,Regular Expression Matching,Hard,29.4%,50.0%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,57.9%,37.5%
15,https://leetcode.com/problems/3sum,3Sum,Medium,37.2%,50.0%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,57.0%,62.5%
37,https://leetcode.com/problems/sudoku-solver,Sudoku Solver,Hard,64.0%,62.5%
39,https://leetcode.com/problems/combination-sum,Combination Sum,Medium,74.9%,50.0%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,65.3%,50.0%
46,https://leetcode.com/problems/permutations,Permutations,Medium,80.8%,62.5%
47,https://leetcode.com/problems/permutations-ii,Permutations II,Medium,61.7%,37.5%
51,https://leetcode.com/problems/n-queens,N-Queens,Hard,73.1%,50.0%
71,https://leetcode.com/problems/simplify-path,Simplify Path,Medium,48.1%,37.5%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,56.8%,37.5%
98,https://leetcode.com/problems/validate-binary-search-tree,Validate Binary Search Tree,Medium,34.5%,62.5%
2918,https://leetcode.com/problems/minimum-equal-sum-of-two-arrays-after-replacing-zeros,Minimum Equal Sum of Two Arrays After Replacing Zeros,Medium,50.2%,75.0%
1048,https://leetcode.com/problems/longest-string-chain,Longest String Chain,Medium,62.1%,75.0%
117,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii,Populating Next Right Pointers in Each Node II,Medium,55.7%,37.5%
1197,https://leetcode.com/problems/minimum-knight-moves,Minimum Knight Moves,Medium,41.4%,87.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,55.4%,62.5%
122,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,Medium,69.6%,50.0%
123,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,Best Time to Buy and Sell Stock III,Hard,51.4%,50.0%
124,https://leetcode.com/problems/binary-tree-maximum-path-sum,Binary Tree Maximum Path Sum,Hard,41.3%,100.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,45.4%,75.0%
150,https://leetcode.com/problems/evaluate-reverse-polish-notation,Evaluate Reverse Polish Notation,Medium,55.1%,62.5%
188,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv,Best Time to Buy and Sell Stock IV,Hard,47.4%,37.5%
198,https://leetcode.com/problems/house-robber,House Robber,Medium,52.4%,50.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,62.5%,62.5%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,49.4%,37.5%
221,https://leetcode.com/problems/maximal-square,Maximal Square,Medium,48.9%,50.0%
1143,https://leetcode.com/problems/longest-common-subsequence,Longest Common Subsequence,Medium,58.3%,37.5%
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,47.7%,87.5%
269,https://leetcode.com/problems/alien-dictionary,Alien Dictionary,Hard,36.7%,50.0%
279,https://leetcode.com/problems/perfect-squares,Perfect Squares,Medium,55.7%,50.0%
287,https://leetcode.com/problems/find-the-duplicate-number,Find the Duplicate Number,Medium,63.0%,62.5%
295,https://leetcode.com/problems/find-median-from-data-stream,Find Median from Data Stream,Hard,53.4%,62.5%
297,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Serialize and Deserialize Binary Tree,Hard,59.1%,62.5%
310,https://leetcode.com/problems/minimum-height-trees,Minimum Height Trees,Medium,42.0%,50.0%
329,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,Longest Increasing Path in a Matrix,Hard,55.4%,50.0%
3186,https://leetcode.com/problems/maximum-total-damage-with-spell-casting,Maximum Total Damage With Spell Casting,Medium,27.8%,75.0%
1268,https://leetcode.com/problems/search-suggestions-system,Search Suggestions System,Medium,65.1%,50.0%
380,https://leetcode.com/problems/insert-delete-getrandom-o1,Insert Delete GetRandom O(1),Medium,55.0%,62.5%
399,https://leetcode.com/problems/evaluate-division,Evaluate Division,Medium,63.2%,75.0%
